Artist,Title,Year,Description
"Daft Punk feat. Pharrell Williams","Get Lucky",2013,"Iconic Nu Disco anthem that brought the genre to mainstream attention with its infectious groove."
"Mark Ronson feat. Bruno Mars","Uptown Funk",2014,"Funky Nu Disco pop hit that dominated charts worldwide with its retro energy."
"Bruno Mars","Treasure",2012,"Sophisticated Nu Disco track with smooth vocals and polished production."
"Sam Smith","I Feel Love",2023,"Modern Nu Disco interpretation with contemporary R&B influences."
"Dua Lipa","Levitating",2020,"Chart-topping Nu Disco pop anthem with cosmic themes and danceable beat."
"Dua Lipa","Physical",2020,"High-energy Nu Disco workout anthem with retro synth-pop elements."
"Beyoncé","Break My Soul",2022,"House-influenced Nu Disco liberation anthem with powerful vocals."
"Beyoncé","Cuff It",2022,"Retro-inspired Nu Disco celebration with funk elements and disco vibes."
"M83","Midnight City",2011,"Synth-heavy track blending Nu Disco with dream pop and electronic elements."
"Stardust","Music Sounds Better With You",1998,"Seminal French house track that defined the Nu Disco sound."
"Daft Punk","One More Time",2000,"Electronic disco masterpiece with vocoder vocals and uplifting energy."
"Daft Punk","Around the World",1997,"Repetitive house anthem with robotic vocals and hypnotic groove."
"The Supermen Lovers","Starlight",2001,"French Nu Disco classic with cosmic themes and dreamy atmosphere."
"Modjo","Lady (Hear Me Tonight)",2000,"Sophisticated Nu Disco track with smooth vocals and elegant production."
"Spiller","Groovejet (If This Ain't Love)",2000,"Balearic Nu Disco hit with Sophie Ellis-Bextor's distinctive vocals."
"Eric Prydz","Call on Me",2004,"High-energy Nu Disco anthem with driving beat and catchy hook."
"Alex Gaudino","Destination Calabria",2007,"Italian Nu Disco hit with infectious melody and dance floor energy."
"David Guetta","Love Don't Let Me Go",2006,"Early Nu Disco from the French DJ with emotional vocals."
"Bob Sinclar","World Hold On",2006,"Uplifting Nu Disco anthem with positive message and soaring vocals."
"Bob Sinclar","Rock This Party",2006,"Party-oriented Nu Disco with energetic vocals and crowd-pleasing energy."
"Bob Sinclar","Fuck With You",2023,"Modern Nu Disco with bold attitude and contemporary production."
"Kygo feat. Conrad Sewell","Firestone",2014,"Tropical house meets Nu Disco with melodic synths and emotional vocals."
"Kygo feat. Parson James","Stole the Show",2015,"Atmospheric Nu Disco with uplifting melody and emotional depth."
"Kygo & Selena Gomez","It Ain't Me",2017,"Pop-Nu Disco crossover with catchy hook and modern production."
"Kygo & Whitney Houston","Higher Love",2019,"Posthumous collaboration blending classic vocals with modern Nu Disco."
"Kygo & OneRepublic","Lose Somebody",2020,"Emotional Nu Disco ballad with atmospheric production and heartfelt vocals."
"Shouse","Love Tonight",2017,"Underground Nu Disco hit with hypnotic vocals and driving beat."
"Shouse","Won't Forget You",2021,"Emotional Nu Disco anthem with powerful vocals and atmospheric production."
"Gala","Freed from Desire",1996,"Classic Eurodance anthem that influenced the Nu Disco movement."
"Snap!","Rhythm Is a Dancer",1992,"Early 90s dance classic that shaped modern Nu Disco sound."
"Robin S.","Show Me Love",1993,"House classic with gospel influences and powerful vocals."
"CeCe Peniston","Finally",1991,"Soul-influenced house anthem with emotional vocal delivery."
"Crystal Waters","100% Pure Love",1994,"Uplifting house track with positive message and infectious energy."
"Crystal Waters","Gypsy Woman (She's Homeless)",1991,"Underground house classic with social commentary and hypnotic beat."
"Ultra Naté","Free",1997,"Liberation anthem with powerful vocals and uplifting message."
"Kim English","If I Can't Have You",1999,"Soulful house track with emotional depth and gospel influences."
"M People","Moving On Up",1993,"British house classic with motivational lyrics and energetic production."
"Livin' Joy","Dreamer",1994,"Eurodance anthem with uplifting message and infectious melody."
"Haddaway","What Is Love",1993,"Eurodance classic that influenced Nu Disco with its emotional intensity."
"Corona","Rhythm of the Night",1993,"Italian Eurodance hit with driving beat and catchy vocals."
"Corona","The Rhythm of the Night",1993,"Dance floor anthem with infectious energy and memorable hook."
"Corona","Baby Baby",1995,"Follow-up hit with playful vocals and dance-oriented production."
"Corona","Try Me Out",1995,"Energetic dance track with confident vocals and upbeat rhythm."
"Corona","I Don't Wanna Be a Star",1995,"Introspective dance track with relatable lyrics and atmospheric production."
"Corona","Do You Want Me",1997,"Romantic dance ballad with emotional vocals and gentle production."
"Corona","Megamix",1997,"Compilation of greatest hits in continuous dance mix format."
"Corona","The Power of Love",2000,"Love-themed dance anthem with powerful vocals and uplifting energy."
"Corona","Back in Time",2001,"Nostalgic dance track with retro influences and atmospheric production."
"Whigfield","Saturday Night",1994,"Iconic Eurodance anthem that defined the mid-90s dance scene."
"Whigfield","Another Day",1994,"Follow-up hit with similar energy and danceable rhythm."
"Whigfield","Think of You",1995,"Romantic dance ballad with emotional vocals and gentle production."
"Whigfield","Sexy Eyes",1996,"Flirtatious dance track with playful vocals and catchy hook."
"Whigfield","Gimme Gimme",1996,"Demanding dance anthem with confident vocals and driving beat."
"Whigfield","Gotta Getcha",1997,"Pursuit-themed dance track with energetic vocals and upbeat production."
"Whigfield","All Your Love",1997,"Love declaration with passionate vocals and emotional intensity."
"Whigfield","No Tears to Cry",1998,"Emotional ballad with melancholic atmosphere and heartfelt vocals."
"Whigfield","Doo Whop",1999,"Retro-influenced dance track with nostalgic vocals and classic production."
"Whigfield","Much More",2000,"Ambitious dance track with sophisticated production and confident vocals."
"Whigfield","Suga",2002,"Sweet-themed dance track with playful vocals and modern production."
"Whigfield","Was a Time",2004,"Nostalgic reflection with contemplative vocals and atmospheric production."
"Sam and the Womp","Bom Bom",2012,"Quirky dance track with brass section and eccentric vocals."
"Disclosure feat. Sam Smith","Latch",2012,"UK garage meets Nu Disco with emotional vocals and sophisticated production."
"Disclosure feat. AlunaGeorge","White Noise",2013,"Electronic dance track with ethereal vocals and hypnotic beat."
"Disclosure feat. Eliza Doolittle","You & Me",2013,"Intimate dance track with personal lyrics and atmospheric production."
"Disclosure feat. Mary J. Blige","F for You",2013,"Soul-influenced electronic track with powerful vocals and emotional depth."
"Disclosure feat. London Grammar","Help Me Lose My Mind",2013,"Melancholic dance track with haunting vocals and atmospheric production."
"Disclosure feat. Sasha Keable","Voices",2013,"Multi-layered electronic track with soulful vocals and complex arrangement."
"Disclosure feat. Ed Macfarlane","Defeated No More",2013,"Uplifting dance anthem with motivational lyrics and energetic production."
"Disclosure feat. Kelis","Second Chance",2013,"Redemption-themed track with experienced vocals and sophisticated production."
"Disclosure feat. Wookie","Grab Her!",2013,"High-energy dance track with UK garage influences and driving beat."
"Disclosure","When a Fire Starts to Burn",2013,"Metaphorical dance anthem with gospel samples and infectious energy."
"Disclosure","Stimulation",2013,"Sensory-themed electronic track with hypnotic rhythm and atmospheric production."
"Disclosure feat. Sinead Harnett","Boiling",2013,"Emotional dance track with powerful vocals and intense production."
"Disclosure","Tenderly",2013,"Gentle electronic ballad with soft production and romantic atmosphere."
"Disclosure","Flow",2013,"Fluid dance track with seamless progression and hypnotic rhythm."
"Disclosure feat. Ria Ritchie","Control",2013,"Power-themed dance track with assertive vocals and driving production."
"Disclosure","What's in Your Head",2013,"Introspective electronic track with thought-provoking lyrics and atmospheric sound."
"Disclosure feat. Jimmy Napes","Together",2013,"Unity-themed dance anthem with collaborative vocals and uplifting energy."
"Disclosure feat. Eko Roosevelt","Apollonia",2013,"Mythological dance track with ethereal vocals and cosmic atmosphere."
"Disclosure feat. Jamie Woon","January",2013,"Seasonal electronic ballad with contemplative vocals and winter atmosphere."
"Disclosure feat. Jessie Ware","Confess to Me",2013,"Intimate dance track with confessional vocals and sophisticated production."
"Disclosure feat. Jessie Ware","Running",2012,"Chase-themed electronic track with urgent vocals and driving rhythm."
"Disclosure feat. Sam Smith","Omen",2015,"Prophetic dance track with powerful vocals and dramatic production."
"Disclosure feat. Gregory Porter","Holding On",2015,"Perseverance anthem with jazz-influenced vocals and sophisticated arrangement."
"Disclosure feat. Lion Babe","Hourglass",2015,"Time-themed dance track with soulful vocals and hypnotic rhythm."
"Disclosure feat. Kwabs","Willing & Able",2015,"Capability anthem with powerful vocals and confident production."
