Artist,Title,Year,Description
"Scott Bradlee's Postmodern Jukebox","Thrift Shop",2013,"A 1930s jazz rendition of Macklemore's hit with Robyn Adele Anderson's smooth vocals."
"Scott Bradlee's Postmodern Jukebox","We Can't Stop",2013,"A doo-wop style cover of Miley Cyrus' pop anthem, featuring Robyn Adele Anderson."
"Scott Bradlee's Postmodern Jukebox","Creep",2015,"A haunting jazz cover of Radiohead's classic, featuring Haley Reinhart's soulful voice."
"Scott Bradlee's Postmodern Jukebox","Habits",2015,"A vintage torch song version of Tove Lo's emotional hit, with rich vocal delivery."
"Scott Bradlee's Postmodern Jukebox","Dancing Queen",2016,"A swing-style take on ABBA's disco classic, full of retro energy."
"Scott Bradlee's Postmodern Jukebox","All About That Bass",2014,"A jazzy, upbeat cover of Meghan Trainor's hit, with a 1940s flair."
"Scott Bradlee's Postmodern Jukebox","Take Me To Church",2015,"A gospel-infused jazz cover of Hozier's soulful ballad."
"Scott Bradlee's Postmodern Jukebox","Bad Romance",2016,"A reboxed swing version of Lady Gaga's hit, featuring Ariana Savalas."
"Scott Bradlee's Postmodern Jukebox","Heroes",2016,"A heartfelt jazz tribute to David Bowie, performed by Nicole Atkins for World Cancer Day."
"Scott Bradlee's Postmodern Jukebox","She Used to be Mine",2017,"A poignant, vintage ballad cover of Sara Bareilles' song, with emotional depth."
"Scott Bradlee's Postmodern Jukebox","Oops!... I Did It Again",2016,"A jazzy, playful take on Britney Spears' pop hit, with Haley Reinhart."
"Scott Bradlee's Postmodern Jukebox","Mr. Blue Sky",2017,"A big band swing cover of ELO's classic, featuring vibrant brass."
"Scott Bradlee's Postmodern Jukebox","Crazy Train",2017,"A swing reimagination of Ozzy Osbourne's metal anthem, with Jennie Lena."
"Scott Bradlee's Postmodern Jukebox","Dream On",2017,"A dramatic, jazzy cover of Aerosmith's rock ballad, featuring Morgan James."
"Scott Bradlee's Postmodern Jukebox","The Final Countdown",2017,"A whirlwind jazz cover of Europe's hair-metal hit, with Gunhild Carling."
"Scott Bradlee's Postmodern Jukebox","I'll Be There for You",2020,"A vintage evolution of The Rembrandts' Friends theme, with a nostalgic twist."
"Scott Bradlee's Postmodern Jukebox","What Is Love",2018,"A retro cover of Haddaway's dance hit, featuring Xavier Woods on trombone."
