Artist,Title,Year,Description
"Purple Disco Machine, Retrosonix","Ghost Town (Extended Mix)",2024,"A funky, modern Nu Disco hit with retro synth vibes."
"Caravan Palace","Lone Digger",2015,"Electro-swing masterpiece with vintage jazz samples and modern electronic beats."
"Parov Stelar","Booty Swing",2012,"Austrian electro-swing pioneer blending 1920s jazz with contemporary electronic production."
"Caro Emerald","Back It Up",2010,"Dutch vintage pop with swing influences and modern production techniques."
"Postmodern Jukebox","Creep",2018,"Radiohead's grunge classic transformed into sultry 1940s jazz ballad."
"Swingrowers","Midnight",2014,"Italian electro-swing with Charleston rhythms and modern electronic elements."
"Tape Five","Geraldine's Routine",2007,"German electro-swing combining vintage samples with contemporary beats and brass."
"Jamie Berry","Delight",2014,"UK electro-swing producer creating infectious dance tracks with vintage charm."
"Goldfish","Fort Knox",2012,"South African electronic duo mixing live instruments with vintage-inspired electronic music."
"Swing Republic","Midnight in Moscow",2011,"Electro-swing cover of Russian folk tune with modern production and vintage brass."
"The Hot Sardines","Bei Mir Bist Du Schön",2014,"Modern jazz ensemble performing vintage standards with authentic 1930s arrangements."
"Postmodern Jukebox","Somebody That I Used to Know",2020,"Gotye's indie hit reimagined as 1950s doo-wop with vintage harmonies."
"Cissie Redgwick","Maneater",2019,"Hall & Oates classic transformed into sultry jazz standard with vintage styling."
"Haley Reinhart","Can't Help Myself",2016,"Vintage soul revival with modern R&B vocals over retro production."
"Scott Bradlee","Seven Nation Army",2017,"White Stripes rock anthem converted to ragtime piano with vintage arrangement."
"Robyn Adele Anderson","Rolling in the Deep",2015,"Adele's powerhouse ballad reimagined as 1940s torch song."
"Puddles Pity Party","Royals",2014,"Lorde's indie pop hit transformed into melancholic vintage cabaret performance."
"The Correspondents","Fear & Delight",2014,"British electro-swing with theatrical vocals and vintage dance hall aesthetics."
"Chinese Man","I've Got That Tune",2011,"French trip-hop collective blending jazz samples with modern beats."
"Electro Deluxe","Devil",2013,"French funk-electronic fusion with vintage soul influences and modern production."
"Dimie Cat","We Are Here",2016,"French chanteuse performing electro-swing with vintage cabaret styling."
"Club des Belugas","Hip Hip Chin Chin",2003,"German downtempo jazz with modern electronic elements and vintage samples."
"Wolfgang Lohr","Sweet Dreams",2015,"Eurythmics classic reimagined as smooth jazz with vintage saxophone arrangements."
"Grant Lazlo","Call Me Maybe",2013,"Carly Rae Jepsen's pop hit transformed into big band swing arrangement."
"Mario Jose","Umbrella",2014,"Rihanna's R&B hit converted to vintage jazz standard with crooner styling."
"Lamuzgueule","Gangnam Style",2013,"PSY's K-pop phenomenon reimagined as 1920s Charleston dance number."
"The 8-Bit Big Band","Giant Steps",2018,"Coltrane jazz standard performed with video game-inspired big band arrangements."
"Proleter","April Showers",2013,"French producer creating cinematic electro-swing with vintage film samples."
"Good Co","Let It Go",2014,"Frozen soundtrack hit transformed into sultry jazz club performance."
"Lyre Le Temps","Lowrider",2016,"War's funk classic reimagined with French electro-swing production."
"Dirty Honkers","Stressed Out",2016,"Twenty One Pilots' alternative hit converted to vintage big band swing."
"Swing Cafe","Smooth Criminal",2015,"Michael Jackson's pop thriller transformed into 1940s swing dance number."
"Alice Francis","Shoot Him Down!",2012,"German vintage pop singer with 1920s flapper aesthetics and modern production."
"Kormac","Wake Up and Live",2014,"Irish producer blending vintage jazz samples with contemporary electronic beats."
"TipTop","Bad Guy",2019,"Billie Eilish's dark pop hit reimagined as playful 1930s jazz standard."
"The Speakeasies' Swing Band!","Careless Whisper",2014,"George Michael's ballad transformed into authentic big band swing arrangement."
"Pink Martini","Sympathique",1997,"Multinational ensemble performing vintage-inspired originals with global influences."
"Michael Bublé","Feeling Good",2005,"Nina Simone classic performed with modern big band production and crooner styling."
"Postmodern Jukebox","Thrift Shop",2013,"Macklemore's hip-hop hit converted to ragtime with vintage piano arrangements."
"The Baseballs","Umbrella",2009,"German rockabilly trio covering Rihanna with 1950s rock and roll styling."
"Richard Cheese","Down with the Sickness",2000,"Disturbed's metal anthem performed as lounge jazz with crooner vocals."
"Vintage Trouble","Blues Hand Me Down",2011,"Modern blues rock band with authentic 1960s soul and R&B influences."
"Lake Street Dive","Good Kisser",2014,"Usher's R&B hit reimagined with indie folk instrumentation and vintage harmonies."
"Gunhild Carling","Caravan",2016,"Swedish multi-instrumentalist performing Duke Ellington classic with vintage jazz styling."
"Casey Abrams","Hit Me Baby One More Time",2012,"Britney Spears pop hit transformed into soulful R&B ballad with vintage arrangement."
"Swing'it","Gangsta's Paradise",2015,"Coolio's hip-hop classic reimagined as 1940s swing with big band arrangement."
"Cristina Gatti","Bad Romance",2015,"Lady Gaga's electro-pop hit converted to sultry jazz standard with vintage styling."
"The Hot Club of Cowtown","Milk Cow Blues",2005,"Western swing trio performing vintage country standards with authentic arrangements."
"Belleville","Blue Moon",2016,"Rodgers and Hart standard performed with modern electro-swing production."
"Caro Emerald","Stuck",2013,"Original vintage pop with 1940s influences and contemporary production techniques."
"Jive Aces","Bring Me Sunshine",2008,"British swing revival band performing Morecambe and Wise theme with authentic arrangements."
"The Brian Setzer Orchestra","Jump Jive an' Wail",1998,"Rockabilly legend leading big band performing Louis Prima classic with modern energy."
"Imelda May","Mayhem",2010,"Irish rockabilly singer with vintage styling and modern rock production."
"Big Bad Voodoo Daddy","Go Daddy-O",1998,"Neo-swing band from California performing original compositions with authentic 1940s styling."
"The Cherry Poppin' Daddies","Zoot Suit Riot",1997,"Ska-punk band's swing revival anthem that defined late 1990s neo-swing movement."
"Squirrel Nut Zippers","Hell",1996,"Alternative swing band combining vintage jazz with punk energy and dark humor."
