Artist,Title,Year,Description
"Led Zeppelin","Stairway to Heaven",1971,"Epic rock masterpiece building from acoustic ballad to thunderous climax with Jimmy Page's iconic guitar work."
"Queen","Bohemian Rhapsody",1975,"Revolutionary rock opera combining ballad, opera, and hard rock with Freddie Mercury's theatrical vocals."
"The Beatles","Come Together",1969,"Hypnotic rock groove with John Lennon's cryptic lyrics and Paul McCartney's driving bass line."
"The Rolling Stones","Paint It Black",1966,"Dark rock anthem with Brian Jones' sitar and Charlie Watts' driving rhythm section."
"AC/DC","Back in Black",1980,"Thunderous hard rock tribute to Bon Scott with Brian Johnson's powerful vocals and iconic guitar riff."
"Guns N' Roses","Sweet Child O' Mine",1987,"Guitar-driven rock ballad featuring Slash's legendary riff and Axl Rose's distinctive vocal range."
"Deep Purple","Smoke on the Water",1972,"Classic rock anthem with one of the most recognizable guitar riffs in rock history."
"Black Sabbath","Paranoid",1970,"Heavy metal pioneer with Tony Iommi's crushing riffs and Ozzy Osbourne's haunting vocals."
"Pink Floyd","Comfortably Numb",1979,"Progressive rock epic with David Gilmour's soaring guitar solos and Roger Waters' introspective lyrics."
"The Who","Won't Get Fooled Again",1971,"Anthemic rock statement with Keith Moon's explosive drumming and Pete Townshend's power chords."
"Jimi Hendrix","Purple Haze",1967,"Psychedelic rock innovation with Hendrix's revolutionary guitar techniques and fuzztone effects."
"Nirvana","Smells Like Teen Spirit",1991,"Grunge anthem that defined alternative rock with Kurt Cobain's raw vocals and heavy guitar distortion."
"Pearl Jam","Alive",1991,"Grunge masterpiece with Eddie Vedder's passionate vocals and Stone Gossard's dynamic guitar work."
"Metallica","Enter Sandman",1991,"Heavy metal classic with crushing riffs and James Hetfield's precise rhythmic vocals."
"Iron Maiden","The Number of the Beast",1982,"Heavy metal epic with Bruce Dickinson's operatic vocals and twin guitar harmonies."
"Judas Priest","Breaking the Law",1980,"Metal anthem with Rob Halford's piercing vocals and twin guitar attack."
"Motorhead","Ace of Spades",1980,"Speed metal pioneer with Lemmy's gravelly vocals and relentless driving rhythm."
"Van Halen","Runnin' with the Devil",1978,"Hard rock showcase for Eddie Van Halen's innovative guitar techniques and David Lee Roth's charisma."
"Aerosmith","Dream On",1973,"Power ballad featuring Steven Tyler's soaring vocals and Joe Perry's melodic guitar work."
"Bon Jovi","Livin' on a Prayer",1986,"Arena rock anthem with talk-box effects and anthemic choruses about working-class struggles."
"Def Leppard","Pour Some Sugar on Me",1987,"Hard rock party anthem with layered vocals and guitar harmonies defining 80s metal."
"Journey","Don't Stop Believin'",1981,"Stadium rock epic with Steve Perry's powerful vocals and Jonathan Cain's memorable piano intro."
"Foreigner","I Want to Know What Love Is",1984,"Power ballad with Lou Gramm's emotional vocals and gospel choir arrangement."
"Boston","More Than a Feeling",1976,"Arena rock classic with Tom Scholz's layered guitars and Brad Delp's soaring harmonies."
"Kansas","Carry on Wayward Son",1976,"Progressive rock anthem with complex arrangements and Kerry Livgren's philosophical lyrics."
"Styx","Come Sail Away",1977,"Epic rock ballad building from piano intro to full orchestral climax with Dennis DeYoung's vocals."
"REO Speedwagon","Can't Fight This Feeling",1984,"Power ballad with Kevin Cronin's heartfelt vocals and piano-driven arrangement."
"The Eagles","Hotel California",1976,"Rock epic with intricate guitar harmonies and Don Henley's mysterious vocals about excess."
