Artist,Title,Year,Description
"Purple Disco Machine, Retrosonix","Ghost Town (Extended Mix)",2024,"A funky, modern Nu Disco hit with retro synth vibes."
"Daft Punk, Pharrell Williams","Get Lucky",2013,"Iconic Nu Disco anthem with a global chart-topping groove."
"Tensnake","Coma Cat",2010,"A defining Nu Disco track with infectious rhythm."
"The Weeknd","Blinding Lights",2019,"Synth-pop crossover with strong Nu Disco elements."
"Flight Facilities","Crave You",2010,"Smooth, vocal-driven Nu Disco classic."
"Breakbot","Baby I’m Yours",2010,"Retro-inspired track with a modern twist."
"Chromeo","Night by Night",2009,"Funky, synth-heavy Nu Disco banger."
"Poolside","Harvest Moon",2012,"Chill, summery cover with atmospheric synths."
"Todd Terje","Inspector Norse",2012,"Instrumental Nu Disco masterpiece with a cosmic vibe."
"Mark Ronson, Bruno Mars","Uptown Funk",2014,"Nu Disco-inspired pop hit with massive appeal."
"Yuksek","Always on the Run",2011,"High-energy track with retro influences."
"Midnight Magic","Beam Me Up",2011,"Cosmic, danceable Nu Disco gem."
"Aeroplane","We Can’t Fly",2010,"Dreamy, uplifting Nu Disco anthem."
"Classixx","Hanging Gardens",2013,"Melodic, laid-back Nu Disco track."
"Lindstrøm","I Feel Space",2005,"Spacey, influential early Nu Disco track."
"Gigamesh","Enjoy",2012,"Funky, upbeat Nu Disco cut."
"Le Knight Club","Santa Claus",2002,"Early Nu Disco from the French house scene."
"Róisín Murphy","Overpowered",2007,"Glamorous Nu Disco pop track."
"Crazy P","Heartbreaker",2011,"Soulful, danceable Nu Disco gem."
"Fred Falke","Intro",2008,"Shimmering, instrumental Nu Disco track."
"Dua Lipa","Don’t Start Now",2020,"Chart-topping Nu Disco with a modern pop edge."
"Kylie Minogue","Say Something",2020,"Elegant Nu Disco anthem from her Disco album."
"Metronomy","The Bay",2011,"Indie-infused Nu Disco with a coastal vibe."
"Hercules & Love Affair","Blind",2008,"Soulful Nu Disco with dramatic vocals."
"Friendly Fires","Paris (Aeroplane Remix)",2008,"Uplifting remix with Balearic Nu Disco vibes."
"Birdee","In the Nick of Time (Birdee Remix)",2018,"Smooth, funky remix with classic Nu Disco flair."
"Cavego","Vertikal Vind (Kort Versjon)",2018,"Versatile, dancy Norwegian Nu Disco track."
"Chromeo","Jealous (I Ain’t With It)",2014,"Catchy, funky Nu Disco with pop appeal."
"Kartell","After The Storm (Kartell Edit)",2018,"Laid-back, soulful Nu Disco edit."
"Funk LeBlanc","Get To You (Funk LeBlanc Remix)",2018,"Soulful, 70s-inspired Nu Disco remix."
"Kraak & Smaak","Squeeze Me",2008,"Funky, upbeat Nu Disco with vocal hooks."
"Lenno","Motions (Lenno Remix)",2016,"Catchy, electro-pop infused Nu Disco track."
"Oliver Nelson, Linae","Talk",2016,"Electro-pop and disco-funk fusion."
"Faze Action","In the Trees",1996,"Early Nu Disco blending house and funk."
"Da Lukas","Love Yourself",2018,"Underground Italian Nu Disco with soulful vibes."
"Prins Thomas","Feel the Love",2010,"Space disco with krautrock influences."
"Saint Tropez Caps","You Saved My Life (Jonny Nevs Disco Mix)",2022,"Modern Nu Disco with classic disco energy."
"Block & Crown, Culum Frea","I Will Survive",2022,"Nu Disco re-edit of the disco classic."
"DJ Shog","In The Air Tonight",2022,"Nu Disco cover with modern production."
"Praise Cats, Andrea Love","Shined On Me",2022,"Soulful Nu Disco remix of a house classic."
"Discotron, Boogie Freaks","Lifting Me Higher",2022,"Uplifting Nu Disco with funky grooves."
"Sean Finn","Karma Is A Killer (Sean Finn Nu Disco Radio Edit)",2022,"Energetic Nu Disco with a modern edge."
"Luca Debonaire, Christopher Nof","Summer Thing",2022,"Summery Nu Disco with vibrant energy."
"Michael Gray, Kimberly Brown, The Sultra Gospel Singers","Fly Away (Extended Mix)",2024,"Soulful, gospel-infused Nu Disco track."
"Yuksek, M.I.L.K.","Be The One",2024,"Melodic Nu Disco with smooth vocals."
"Crazibiza","Funky House Annual 2025",2025,"Funky, high-energy Nu Disco compilation track."
"House of Prayers","Love Recycled",2025,"Upbeat Nu Disco with recycled disco elements."
"Kim Wilde, Kenny Thomas","Shout Out",2025,"Modern Nu Disco with a retro pop vibe."
"The Illustrious Blacks","Velocity",2025,"Energetic Nu Disco with soulful energy."
"Bazza Ranks, Venessa Jackson","Freak Like Me",2025,"Funky, modern Nu Disco hit."
"Rosario Cristofaro","From My Soul (Da Lukas Remix)",2025,"Soulful Nu Disco with underground vibes."
"Vintage Jukebox","All Night EP",2025,"Vibrant Nu Disco EP with dancefloor energy."
"Solomun","Love Recycled 4",2025,"Minimalist Nu Disco with a modern twist."
"Les Bisous, Andrea Love","Shined On Me (Les Bisous Extended Remix)",2024,"Soulful remix with a Nu Disco groove."
"Isaac Delusion","She’s Mine (Extended Mix)",2024,"Dreamy Nu Disco with indie influences."
"Hotmood","Money Crazy",2022,"Funky, upbeat Nu Disco track."
"Micky More & Andy Tee","For Those That Like To Get Down, Vol. 5",2022,"Soulful Nu Disco with classic disco vibes."
"Winkar, Guss Sax","Around The World (Daisuke Miyamoto Remixes)",2022,"Global-themed Nu Disco remix."
